trainOrder,stop,Destination,FTB
40,LOS ANDES,3,3.5011
40,LOS ANDES,4,121.6322
40,LOS ANDES,5,426.6528
40,PAN DE AZUCAR,4,131.6322
40,PAN DE AZUCAR,5,490.6528
40,SAN MIGUELITO,5,793.7049
41,SAN ISIDRO,2,2.0275
41,SAN ISIDRO,3,2.2896
41,SAN ISIDRO,4,61.577
41,SAN ISIDRO,5,231.6124
41,LOS ANDES,3,3.2835
41,LOS ANDES,4,131.9908
41,LOS ANDES,5,512.1824
41,PAN DE AZUCAR,4,145.9908
41,PAN DE AZUCAR,5,558.1824
41,SAN MIGUELITO,5,950.0
42,SAN ISIDRO,2,3.4984
42,SAN ISIDRO,3,1.247
42,SAN ISIDRO,4,68.4284
42,SAN ISIDRO,5,234.4524
42,LOS ANDES,3,1.4453
42,LOS ANDES,4,127.7528
42,LOS ANDES,5,486.7715
42,PAN DE AZUCAR,4,143.7528
42,PAN DE AZUCAR,5,566.7715
42,SAN MIGUELITO,5,900.0772
43,SAN ISIDRO,2,4.7625
43,SAN ISIDRO,3,0.2495
43,SAN ISIDRO,4,69.6657
43,SAN ISIDRO,5,251.8812
43,LOS ANDES,3,0.2495
43,LOS ANDES,4,134.3084
43,LOS ANDES,5,481.2851
43,PAN DE AZUCAR,4,143.3084
43,PAN DE AZUCAR,5,538.2851
43,SAN MIGUELITO,5,874.1674
44,SAN ISIDRO,2,1.2356
44,SAN ISIDRO,3,2.9485
44,SAN ISIDRO,4,59.8042
44,SAN ISIDRO,5,217.5679
44,LOS ANDES,3,2.9485
44,LOS ANDES,4,124.8018
44,LOS ANDES,5,429.5302
44,PAN DE AZUCAR,4,140.8018
44,PAN DE AZUCAR,5,489.5302
44,SAN MIGUELITO,5,759.6327
45,SAN ISIDRO,2,3.743
45,SAN ISIDRO,3,1.8001
45,SAN ISIDRO,4,65.4032
45,SAN ISIDRO,5,216.6394
45,LOS ANDES,3,1.8001
45,LOS ANDES,4,141.0887
45,LOS ANDES,5,472.3571
45,PAN DE AZUCAR,4,147.0887
45,PAN DE AZUCAR,5,534.3571
45,SAN MIGUELITO,5,880.978
46,SAN ISIDRO,2,2.0027
46,SAN ISIDRO,3,0.2514
46,SAN ISIDRO,4,56.3642
46,SAN ISIDRO,5,222.823
46,LOS ANDES,3,1.0376
46,LOS ANDES,4,114.4434
46,LOS ANDES,5,434.918
46,PAN DE AZUCAR,4,124.4434
46,PAN DE AZUCAR,5,510.918
46,SAN MIGUELITO,5,940.4383
47,SAN ISIDRO,2,1.5811
47,SAN ISIDRO,3,0.6634
47,SAN ISIDRO,4,30.0645
47,SAN ISIDRO,5,119.1749
47,LOS ANDES,3,0.8772
47,LOS ANDES,4,57.814
47,LOS ANDES,5,203.9326
47,PAN DE AZUCAR,4,58.814
47,PAN DE AZUCAR,5,219.9326
47,SAN MIGUELITO,5,607.6686
48,SAN ISIDRO,2,7.7732
48,SAN ISIDRO,3,4.2811
48,SAN ISIDRO,4,97.5599
48,SAN ISIDRO,5,377.6277
48,LOS ANDES,3,4.2811
48,LOS ANDES,4,166.5668
48,LOS ANDES,5,617.0005
48,PAN DE AZUCAR,4,182.5668
48,PAN DE AZUCAR,5,700.0005
48,SAN MIGUELITO,5,950.0
49,SAN ISIDRO,2,5.4677
49,SAN ISIDRO,3,1.7691
49,SAN ISIDRO,4,50.2565
49,SAN ISIDRO,5,261.0727
49,LOS ANDES,3,4.9873
49,LOS ANDES,4,115.9522
49,LOS ANDES,5,529.2161
49,PAN DE AZUCAR,4,127.9522
49,PAN DE AZUCAR,5,583.2161
49,SAN MIGUELITO,5,946.8521
50,SAN ISIDRO,2,2.1918
50,SAN ISIDRO,3,1.8054
50,SAN ISIDRO,4,72.1179
50,SAN ISIDRO,5,295.4524
50,LOS ANDES,3,2.5872
50,LOS ANDES,4,132.3945
50,LOS ANDES,5,497.516
50,PAN DE AZUCAR,4,138.3945
50,PAN DE AZUCAR,5,529.516
50,SAN MIGUELITO,5,825.0391
51,SAN ISIDRO,2,2.4606
51,SAN ISIDRO,3,1.2211
51,SAN ISIDRO,4,69.0639
51,SAN ISIDRO,5,249.7622
51,LOS ANDES,3,2.0285
51,LOS ANDES,4,127.7137
51,LOS ANDES,5,445.685
51,PAN DE AZUCAR,4,140.7137
51,PAN DE AZUCAR,5,479.685
51,SAN MIGUELITO,5,811.5656
52,SAN ISIDRO,2,4.83
52,SAN ISIDRO,3,0.26
52,SAN ISIDRO,4,32.9429
52,SAN ISIDRO,5,140.6935
52,LOS ANDES,3,0.4525
52,LOS ANDES,4,58.4727
52,LOS ANDES,5,215.9674
52,PAN DE AZUCAR,4,61.4727
52,PAN DE AZUCAR,5,224.9674
52,SAN MIGUELITO,5,488.3598
53,SAN ISIDRO,2,3.5323
53,SAN ISIDRO,3,3.9561
53,SAN ISIDRO,4,132.4875
53,SAN ISIDRO,5,461.7921
53,LOS ANDES,3,4.8109
53,LOS ANDES,4,211.6401
53,LOS ANDES,5,704.6875
53,PAN DE AZUCAR,4,216.1904
53,PAN DE AZUCAR,5,733.8096
53,SAN MIGUELITO,5,950.0
54,SAN ISIDRO,2,4.4771
54,SAN ISIDRO,3,1.7205
54,SAN ISIDRO,4,64.7868
54,SAN ISIDRO,5,237.7515
54,LOS ANDES,3,2.6652
54,LOS ANDES,4,104.4564
54,LOS ANDES,5,386.0497
54,PAN DE AZUCAR,4,113.9061
54,PAN DE AZUCAR,5,449.9277
54,SAN MIGUELITO,5,734.4653
55,SAN ISIDRO,2,3.3889
55,SAN ISIDRO,3,1.7718
55,SAN ISIDRO,4,49.2384
55,SAN ISIDRO,5,183.2707
55,LOS ANDES,3,1.9723
55,LOS ANDES,4,96.9879
55,LOS ANDES,5,320.695
55,PAN DE AZUCAR,4,100.9879
55,PAN DE AZUCAR,5,342.695
55,SAN MIGUELITO,5,575.9553
56,SAN ISIDRO,2,2.8074
56,SAN ISIDRO,3,0.5516
56,SAN ISIDRO,4,63.3422
56,SAN ISIDRO,5,198.7761
56,LOS ANDES,3,3.7745
56,LOS ANDES,4,99.9989
56,LOS ANDES,5,338.6231
56,PAN DE AZUCAR,4,105.9989
56,PAN DE AZUCAR,5,377.6231
56,SAN MIGUELITO,5,656.1096
57,SAN ISIDRO,2,2.9955
57,SAN ISIDRO,3,0.0
57,SAN ISIDRO,4,58.645
57,SAN ISIDRO,5,220.4601
57,LOS ANDES,3,0.777
57,LOS ANDES,4,94.3272
57,LOS ANDES,5,328.9664
57,PAN DE AZUCAR,4,100.3272
57,PAN DE AZUCAR,5,372.9664
57,SAN MIGUELITO,5,581.1011
58,SAN ISIDRO,2,1.482
58,SAN ISIDRO,3,1.4668
58,SAN ISIDRO,4,50.6446
58,SAN ISIDRO,5,187.9257
58,LOS ANDES,3,1.4668
58,LOS ANDES,4,79.3423
58,LOS ANDES,5,309.1387
58,PAN DE AZUCAR,4,85.3423
58,PAN DE AZUCAR,5,333.1387
58,SAN MIGUELITO,5,555.4536
59,SAN ISIDRO,2,5.5907
59,SAN ISIDRO,3,1.2938
59,SAN ISIDRO,4,62.7677
59,SAN ISIDRO,5,237.8665
59,LOS ANDES,3,1.2938
59,LOS ANDES,4,92.6056
59,LOS ANDES,5,356.4373
59,PAN DE AZUCAR,4,99.6056
59,PAN DE AZUCAR,5,383.4373
59,SAN MIGUELITO,5,591.5701
60,SAN ISIDRO,2,2.4041
60,SAN ISIDRO,3,0.9676
60,SAN ISIDRO,4,49.0578
60,SAN ISIDRO,5,193.109
60,LOS ANDES,3,4.2319
60,LOS ANDES,4,77.9168
60,LOS ANDES,5,286.4617
60,PAN DE AZUCAR,4,84.9168
60,PAN DE AZUCAR,5,306.4617
60,SAN MIGUELITO,5,473.0426
61,SAN ISIDRO,2,1.0218
61,SAN ISIDRO,3,1.0218
61,SAN ISIDRO,4,57.5041
61,SAN ISIDRO,5,204.9946
61,LOS ANDES,3,3.3992
61,LOS ANDES,4,96.4913
61,LOS ANDES,5,340.5659
61,PAN DE AZUCAR,4,103.4913
61,PAN DE AZUCAR,5,369.5659
61,SAN MIGUELITO,5,530.0858
62,SAN ISIDRO,2,5.3039
62,SAN ISIDRO,3,1.694
62,SAN ISIDRO,4,43.1574
62,SAN ISIDRO,5,156.4378
62,LOS ANDES,3,2.0523
62,LOS ANDES,4,67.091
62,LOS ANDES,5,266.1443
62,PAN DE AZUCAR,4,78.0909
62,PAN DE AZUCAR,5,303.1439
62,SAN MIGUELITO,5,528.831
63,SAN ISIDRO,2,5.5846
63,SAN ISIDRO,3,1.2837
63,SAN ISIDRO,4,37.0394
63,SAN ISIDRO,5,137.095
63,LOS ANDES,3,1.2837
63,LOS ANDES,4,58.807
63,LOS ANDES,5,226.4222
63,PAN DE AZUCAR,4,61.8072
63,PAN DE AZUCAR,5,246.4227
63,SAN MIGUELITO,5,434.9324
64,SAN ISIDRO,2,3.5381
64,SAN ISIDRO,3,1.7233
64,SAN ISIDRO,4,30.1177
64,SAN ISIDRO,5,126.1814
64,LOS ANDES,3,2.5189
64,LOS ANDES,4,58.6297
64,LOS ANDES,5,239.596
64,PAN DE AZUCAR,4,62.6297
64,PAN DE AZUCAR,5,253.596
64,SAN MIGUELITO,5,381.8496
65,SAN ISIDRO,2,3.7393
65,SAN ISIDRO,3,2.0069
65,SAN ISIDRO,4,25.1809
65,SAN ISIDRO,5,123.6994
65,LOS ANDES,3,2.2114
65,LOS ANDES,4,57.2737
65,LOS ANDES,5,258.3639
65,PAN DE AZUCAR,4,64.2737
65,PAN DE AZUCAR,5,290.3639
65,SAN MIGUELITO,5,487.8537
66,SAN ISIDRO,2,0.0
66,SAN ISIDRO,3,0.0
66,SAN ISIDRO,4,0.0
66,SAN ISIDRO,5,0.0
66,LOS ANDES,3,0.0
66,LOS ANDES,4,19.864
66,LOS ANDES,5,98.9732
66,PAN DE AZUCAR,4,23.999
66,PAN DE AZUCAR,5,121.3018
66,SAN MIGUELITO,5,256.9001
67,SAN ISIDRO,2,7.1647
67,SAN ISIDRO,3,4.5824
67,SAN ISIDRO,4,82.3914
67,SAN ISIDRO,5,307.8406
67,LOS ANDES,3,4.5824
67,LOS ANDES,4,125.8521
67,LOS ANDES,5,495.5315
67,PAN DE AZUCAR,4,139.7172
67,PAN DE AZUCAR,5,551.2029
67,SAN MIGUELITO,5,835.178
68,SAN ISIDRO,2,5.8627
68,SAN ISIDRO,3,1.5933
68,SAN ISIDRO,4,38.0777
68,SAN ISIDRO,5,136.9523
68,LOS ANDES,3,1.5933
68,LOS ANDES,4,57.1186
68,LOS ANDES,5,222.7626
68,PAN DE AZUCAR,4,63.1186
68,PAN DE AZUCAR,5,245.7626
68,SAN MIGUELITO,5,421.1806
69,SAN ISIDRO,2,9.2854
69,SAN ISIDRO,3,0.3664
69,SAN ISIDRO,4,36.0591
69,SAN ISIDRO,5,112.8915
69,LOS ANDES,3,0.3664
69,LOS ANDES,4,59.484
69,LOS ANDES,5,199.0161
69,PAN DE AZUCAR,4,66.484
69,PAN DE AZUCAR,5,219.0161
69,SAN MIGUELITO,5,418.6127
70,SAN ISIDRO,2,9.3922
70,SAN ISIDRO,3,1.4713
70,SAN ISIDRO,4,27.6324
70,SAN ISIDRO,5,125.2885
70,LOS ANDES,3,1.4713
70,LOS ANDES,4,59.0267
70,LOS ANDES,5,229.1216
70,PAN DE AZUCAR,4,61.0267
70,PAN DE AZUCAR,5,241.1216
70,SAN MIGUELITO,5,433.3599
71,SAN ISIDRO,2,8.9832
71,SAN ISIDRO,3,1.2625
71,SAN ISIDRO,4,23.2215
71,SAN ISIDRO,5,130.4918
71,LOS ANDES,3,1.2625
71,LOS ANDES,4,50.4434
71,LOS ANDES,5,237.5265
71,PAN DE AZUCAR,4,51.4434
71,PAN DE AZUCAR,5,257.5265
71,SAN MIGUELITO,5,392.6409
72,SAN ISIDRO,2,5.7587
72,SAN ISIDRO,3,1.6114
72,SAN ISIDRO,4,20.2469
72,SAN ISIDRO,5,77.2452
72,LOS ANDES,3,1.6114
72,LOS ANDES,4,42.1548
72,LOS ANDES,5,145.0312
72,PAN DE AZUCAR,4,46.79
72,PAN DE AZUCAR,5,166.3534
72,SAN MIGUELITO,5,254.9494
73,SAN ISIDRO,2,8.0017
73,SAN ISIDRO,3,1.362
73,SAN ISIDRO,4,18.8977
73,SAN ISIDRO,5,69.4224
73,LOS ANDES,3,2.1381
73,LOS ANDES,4,44.8025
73,LOS ANDES,5,171.1865
73,PAN DE AZUCAR,4,49.9945
73,PAN DE AZUCAR,5,193.1386
73,SAN MIGUELITO,5,357.6513
